Year,Province,District,Deaths,People_Affected,Severity_Level,Flood_Type
2010,Khyber Pakhtunkhwa,Nowshera,280,1200000,Critical,Riverine
2010,Khyber Pakhtunkhwa,Charsadda,250,900000,Critical,Riverine
2010,Khyber Pakhtunkhwa,Swat,210,750000,Critical,Flash Flood
2010,Khyber Pakhtunkhwa,Kohistan,130,200000,Severe,Flash Flood
2010,Khyber Pakhtunkhwa,Shangla,85,180000,Severe,Flash Flood
2010,Khyber Pakhtunkhwa,D.I. Khan,75,500000,Severe,Riverine
2010,Khyber Pakhtunkhwa,Tank,45,200000,Severe,Riverine
2010,Khyber Pakhtunkhwa,Upper Dir,40,150000,Moderate,Flash Flood
2010,Khyber Pakhtunkhwa,Lower Dir,35,140000,Moderate,Flash Flood
2010,Sindh,Jacobabad,80,900000,Critical,Riverine
2010,Sindh,Kashmore,65,700000,Critical,Riverine
2010,Sindh,Shikarpur,55,600000,Severe,Riverine
2010,Sindh,Ghotki,45,500000,Severe,Riverine
2010,Sindh,Qambar Shahdad Kot,40,600000,Severe,Riverine
2010,Sindh,Dadu,40,800000,Severe,Riverine
2010,Sindh,Jamshoro,35,400000,Severe,Riverine
2010,Sindh,Thatta,30,500000,Severe,Riverine
2010,Punjab,D.G. Khan,30,600000,Severe,Riverine
2010,Punjab,Rajanpur,25,500000,Severe,Riverine
2010,Punjab,Rahim Yar Khan,20,400000,Severe,Riverine
2010,Punjab,Layyah,15,350000,Moderate,Riverine
2010,Punjab,Bhakkar,10,300000,Moderate,Riverine
2010,Punjab,Mianwali,10,250000,Moderate,Riverine
2010,Balochistan,Jaffarabad,65,400000,Critical,Riverine
2010,Balochistan,Nasirabad,55,350000,Severe,Riverine
2010,Balochistan,Sibi,40,200000,Severe,Flash Flood
2011,Sindh,Badin,64,1021301,Critical,Monsoon
2011,Sindh,Mirpurkhas,55,800000,Critical,Monsoon
2011,Sindh,Tharparkar,45,600000,Severe,Monsoon
2011,Sindh,Sanghar,40,500000,Severe,Monsoon
2011,Sindh,Shaheed Benazirabad,35,400000,Severe,Monsoon
2011,Sindh,Tando Allahyar,40,350000,Severe,Monsoon
2011,Sindh,Tando Muhammad Khan,35,300000,Severe,Monsoon
2011,Sindh,Umerkot,30,350000,Severe,Monsoon
2012,Sindh,Kashmore,50,500000,Critical,Riverine
2012,Sindh,Jacobabad,45,400000,Severe,Riverine
2012,Sindh,Shikarpur,35,350000,Severe,Riverine
2012,Balochistan,Jaffarabad,40,300000,Severe,Riverine
2012,Balochistan,Naseerabad,35,280000,Severe,Riverine
2012,Punjab,Rajanpur,30,250000,Severe,Riverine
2013,Punjab,Rajanpur,25,200000,Severe,Flash Flood
2013,Punjab,D.G. Khan,20,180000,Severe,Flash Flood
2013,Khyber Pakhtunkhwa,Chitral,25,80000,Severe,Flash Flood
2013,Khyber Pakhtunkhwa,Peshawar,18,150000,Moderate,Urban Flooding
2013,Balochistan,Sibi,22,100000,Severe,Flash Flood
2013,Balochistan,Jaffarabad,20,120000,Severe,Riverine
2014,Punjab,Sialkot,30,300000,Severe,Riverine
2014,Punjab,Narowal,22,200000,Severe,Riverine
2014,Punjab,Lahore,18,250000,Moderate,Urban Flooding
2014,Punjab,Gujranwala,15,200000,Moderate,Riverine
2014,Punjab,Mandi Bahauddin,14,180000,Moderate,Riverine
2014,Punjab,Gujrat,12,170000,Moderate,Riverine
2014,Punjab,Hafizabad,10,120000,Moderate,Riverine
2014,Punjab,Jhelum,12,150000,Moderate,Riverine
2014,Punjab,Chiniot,8,100000,Moderate,Riverine
2014,Punjab,Sargodha,10,130000,Moderate,Riverine
2015,Khyber Pakhtunkhwa,Chitral,45,200000,Critical,GLOF and Flash Flood
