date,rainfall_mm,region,rainfall_3day,rainfall_7day,rainfall_30day,rainfall_7day_avg,rainfall_spike
2023-03-28,1.32,Azad Kashmir,1.32,1.32,1.32,1.32,0.0
2023-03-29,0.21,Azad Kashmir,1.53,1.53,1.53,0.76,-0.55
2023-03-30,4.44,Azad Kashmir,5.97,5.97,5.97,1.99,2.45
2023-03-31,8.07,Azad Kashmir,12.72,14.04,14.04,3.51,4.56
2023-04-01,11.56,Azad Kashmir,24.07,25.6,25.6,5.12,6.44
2023-04-02,1.88,Azad Kashmir,21.51,27.48,27.48,4.58,-2.7
2023-04-03,13.13,Azad Kashmir,26.57,40.61,40.61,5.8,7.33
2023-04-04,2.8,Azad Kashmir,17.81,42.09,43.41,6.01,-3.21
2023-04-05,1.18,Azad Kashmir,17.11,43.06,44.59,6.15,-4.97
2023-04-06,5.76,Azad Kashmir,9.74,44.38,50.35,6.34,-0.58
2023-04-07,0.0,Azad Kashmir,6.94,36.31,50.35,5.19,-5.19
2023-04-08,0.0,Azad Kashmir,5.76,24.75,50.35,3.54,-3.54
2023-04-09,0.0,Azad Kashmir,0.0,22.87,50.35,3.27,-3.27
2023-04-10,0.0,Azad Kashmir,0.0,9.74,50.35,1.39,-1.39
2023-04-11,0.0,Azad Kashmir,0.0,6.94,50.35,0.99,-0.99
2023-04-12,0.0,Azad Kashmir,0.0,5.76,50.35,0.82,-0.82
2023-04-13,0.0,Azad Kashmir,0.0,0.0,50.35,0.0,0.0
2023-04-14,0.0,Azad Kashmir,0.0,0.0,50.35,0.0,0.0
2023-04-15,0.44,Azad Kashmir,0.44,0.44,50.79,0.06,0.38
2023-04-16,4.11,Azad Kashmir,4.55,4.55,54.9,0.65,3.46
2023-04-17,1.14,Azad Kashmir,5.69,5.69,56.04,0.81,0.33
2023-04-18,27.36,Azad Kashmir,32.61,33.05,83.4,4.72,22.64
2023-04-19,32.06,Azad Kashmir,60.56,65.11,115.46,9.3,22.76
2023-04-20,9.74,Azad Kashmir,69.16,74.85,125.2,10.69,-0.95
2023-04-21,1.02,Azad Kashmir,42.82,75.87,126.22,10.84,-9.82
2023-04-22,0.21,Azad Kashmir,10.97,75.64,126.43,10.81,-10.6
2023-04-23,0.01,Azad Kashmir,1.24,71.54,126.44,10.22,-10.21
2023-04-24,0.0,Azad Kashmir,0.22,70.4,126.44,10.06,-10.06
2023-04-25,0.09,Azad Kashmir,0.1,43.13,126.53,6.16,-6.07
2023-04-26,10.04,Azad Kashmir,10.13,21.11,136.57,3.02,7.02
2023-04-27,11.22,Azad Kashmir,21.35,22.59,146.47,3.23,7.99
2023-04-28,17.43,Azad Kashmir,38.69,39.0,163.69,5.57,11.86
2023-04-29,0.0,Azad Kashmir,28.65,38.79,159.25,5.54,-5.54
2023-04-30,0.18,Azad Kashmir,17.61,38.96,151.36,5.57,-5.39
2023-05-01,3.17,Azad Kashmir,3.35,42.13,142.97,6.02,-2.85
2023-05-02,18.61,Azad Kashmir,21.96,60.65,159.7,8.66,9.95
2023-05-03,1.71,Azad Kashmir,23.49,52.32,148.28,7.47,-5.76
2023-05-04,4.97,Azad Kashmir,25.29,46.07,150.45,6.58,-1.61
2023-05-05,2.54,Azad Kashmir,9.22,31.18,151.81,4.45,-1.91
2023-05-06,3.55,Azad Kashmir,11.06,34.73,149.6,4.96,-1.41
2023-05-07,5.41,Azad Kashmir,11.5,39.96,155.01,5.71,-0.3
2023-05-08,10.18,Azad Kashmir,19.14,46.97,165.19,6.71,3.47
2023-05-09,0.09,Azad Kashmir,15.68,28.45,165.28,4.06,-3.97
2023-05-10,0.0,Azad Kashmir,10.27,26.74,165.28,3.82,-3.82
2023-05-11,0.0,Azad Kashmir,0.09,21.77,165.28,3.11,-3.11
2023-05-12,0.0,Azad Kashmir,0.0,19.23,165.28,2.75,-2.75
2023-05-13,2.6,Azad Kashmir,2.6,18.28,167.88,2.61,-0.01
2023-05-14,3.89,Azad Kashmir,6.49,16.76,171.77,2.39,1.5
2023-05-15,0.02,Azad Kashmir,6.51,6.6,171.35,0.94,-0.92
2023-05-16,0.0,Azad Kashmir,3.91,6.51,167.24,0.93,-0.93
2023-05-17,0.32,Azad Kashmir,0.34,6.83,166.42,0.98,-0.66
2023-05-18,7.51,Azad Kashmir,7.83,14.34,146.57,2.05,5.46
2023-05-19,0.64,Azad Kashmir,8.47,14.98,115.15,2.14,-1.5
2023-05-20,0.02,Azad Kashmir,8.17,12.4,105.43,1.77,-1.75
2023-05-21,0.0,Azad Kashmir,0.66,8.51,104.41,1.22,-1.22
2023-05-22,0.04,Azad Kashmir,0.06,8.53,104.24,1.22,-1.18
2023-05-23,6.5,Azad Kashmir,6.54,15.03,110.73,2.15,4.35
2023-05-24,9.82,Azad Kashmir,16.36,24.53,120.55,3.5,6.32
2023-05-25,3.49,Azad Kashmir,19.81,20.51,123.95,2.93,0.56
