province,month,rainfall_7day,rainfall_30day,river_discharge,population,elevation_factor,historical_floods,ndma_fatality_weight,flood_risk_score
Khyber Pakhtunkhwa,6,230.5,723.01,29963.66,35500000,0.6,6,0.993,91.66
Khyber Pakhtunkhwa,7,258.5,714.8,31965.12,35500000,0.6,6,0.993,95.96
Khyber Pakhtunkhwa,8,258.5,671.77,31448.8,35500000,0.6,6,0.993,95.84
Khyber Pakhtunkhwa,9,230.5,853.71,31532.0,35500000,0.6,6,0.993,98.03
Khyber Pakhtunkhwa,10,230.5,584.32,28299.29,35500000,0.6,6,0.993,93.26
Sindh,6,52.68,148.12,9728.5,47900000,0.2,8,0.217,73.42
Sindh,7,60.8,183.45,10761.36,47900000,0.2,8,0.217,67.16
Sindh,8,60.8,182.1,10745.22,47900000,0.2,8,0.217,77.85
Sindh,9,60.8,215.24,11142.89,47900000,0.2,8,0.217,73.72
Sindh,10,52.68,164.51,9925.12,47900000,0.2,8,0.217,72.77
Sindh,6,55.76,182.62,10373.03,47900000,0.2,8,0.24,73.11
Sindh,7,62.54,211.03,11222.88,47900000,0.2,8,0.24,76.79
Sindh,8,62.54,219.34,11322.63,47900000,0.2,8,0.24,75.37
Sindh,9,62.54,174.48,10784.37,47900000,0.2,8,0.24,73.45
Sindh,10,55.76,145.55,9928.29,47900000,0.2,8,0.24,73.2
"Multiple (Punjab, KP, Balochistan)",6,35.7,95.18,7819.63,47900000,0.2,8,0.167,52.84
"Multiple (Punjab, KP, Balochistan)",7,37.8,138.47,8496.63,47900000,0.2,8,0.167,46.94
"Multiple (Punjab, KP, Balochistan)",8,37.8,126.32,8350.84,47900000,0.2,8,0.167,49.51
"Multiple (Punjab, KP, Balochistan)",9,37.8,96.71,7995.52,47900000,0.2,8,0.167,49.31
"Multiple (Punjab, KP, Balochistan)",10,35.7,129.46,8231.0,47900000,0.2,8,0.167,51.17
Punjab,6,40.7,123.32,8532.31,110000000,0.3,7,0.183,83.33
Punjab,7,44.2,124.39,8807.68,110000000,0.3,7,0.183,78.58
Punjab,8,44.2,183.35,9515.26,110000000,0.3,7,0.183,75.66
Punjab,9,44.2,179.77,9472.24,110000000,0.3,7,0.183,77.65
Punjab,10,40.7,107.87,8346.97,110000000,0.3,7,0.183,71.97
Khyber Pakhtunkhwa,6,26.2,77.59,6896.03,35500000,0.6,6,0.119,45.25
Khyber Pakhtunkhwa,7,28.3,110.62,7449.95,35500000,0.6,6,0.119,45.96
Khyber Pakhtunkhwa,8,28.3,96.86,7284.81,35500000,0.6,6,0.119,47.36
Khyber Pakhtunkhwa,9,26.2,71.78,6826.32,35500000,0.6,6,0.119,51.75
Khyber Pakhtunkhwa,10,26.2,97.97,7140.64,35500000,0.6,6,0.119,52.66
Khyber Pakhtunkhwa,6,28.12,107.17,7395.04,35500000,0.6,6,0.131,49.38
Khyber Pakhtunkhwa,7,29.8,80.37,7199.44,35500000,0.6,6,0.131,48.13
Khyber Pakhtunkhwa,8,29.8,118.22,7653.7,35500000,0.6,6,0.131,45.48
Khyber Pakhtunkhwa,9,28.12,73.34,6989.06,35500000,0.6,6,0.131,53.3
