Year,Province,Deaths
2010,Khyber Pakhtunkhwa,1156
2010,Sindh,411
2010,Balochistan,183
2010,Punjab,110
2010,Gilgit-Baltistan,75
2010,AJK,50
2011,Sindh,390
2011,Balochistan,25
2011,Punjab,12
2011,Khyber Pakhtunkhwa,7
2012,Sindh,220
2012,Balochistan,110
2012,Punjab,85
2012,Khyber Pakhtunkhwa,65
2013,Punjab,95
2013,Khyber Pakhtunkhwa,90
2013,Balochistan,80
2013,Sindh,45
2013,AJK,23
2014,Punjab,158
2014,AJK,85
2014,Khyber Pakhtunkhwa,60
2014,Sindh,35
2014,Gilgit-Baltistan,29
2015,Khyber Pakhtunkhwa,105
2015,Punjab,68
2015,Balochistan,35
2015,Sindh,20
2015,Gilgit-Baltistan,10
2016,Khyber Pakhtunkhwa,147
2016,Punjab,55
2016,Balochistan,38
2016,Sindh,15
2016,Gilgit-Baltistan,7
2017,Khyber Pakhtunkhwa,65
2017,Punjab,45
2017,Balochistan,30
2017,Sindh,18
2017,Gilgit-Baltistan,6
2018,Sindh,55
2018,Balochistan,50
2018,Punjab,40
2018,Khyber Pakhtunkhwa,35
2018,AJK,6
2019,Khyber Pakhtunkhwa,95
2019,Balochistan,52
2019,Punjab,40
2019,AJK,25
2019,Sindh,13
2020,Sindh,180
2020,Khyber Pakhtunkhwa,85
2020,Balochistan,72
2020,Punjab,55
2020,AJK,18
2021,Khyber Pakhtunkhwa,60
2021,Punjab,47
2021,Balochistan,24
2021,AJK,21
2021,Sindh,8
2022,Sindh,870
2022,Balochistan,330
2022,Khyber Pakhtunkhwa,330
2022,Punjab,165
2022,AJK,25
2022,Gilgit-Baltistan,19
2023,Punjab,72
2023,Khyber Pakhtunkhwa,65
2023,Balochistan,48
2023,Sindh,28
2023,Gilgit-Baltistan,13
2024,Balochistan,118
2024,Sindh,95
2024,Punjab,72
2024,Khyber Pakhtunkhwa,55
2024,AJK,14
2025,Khyber Pakhtunkhwa,509
2025,Punjab,322
2025,Sindh,90
2025,Balochistan,65
2025,Gilgit-Baltistan,35
2025,AJK,16
2026,Khyber Pakhtunkhwa,60
2026,Punjab,45
2026,Sindh,30
2026,Balochistan,25
2026,Gilgit-Baltistan,15
2026,AJK,5
