Year,Total_Deaths,Total_Injured,People_Affected,Districts_Affected,Houses_Destroyed,Houses_Damaged,Economic_Loss_USD,Severity,Most_Affected_Province,Flood_Type
2010,1985,2946,20000000,78,1600000,2000000,9700000000,Catastrophic,Khyber Pakhtunkhwa,Riverine and Flash Floods
2011,434,1356,5800000,16,1500000,1600000,3700000000,Severe,Sindh,Monsoon Flooding
2012,480,2837,4847000,29,216000,400000,2500000000,Severe,Sindh,Monsoon Flooding
2013,333,1500,1500000,25,36000,97000,2000000000,Moderate,Multiple (Punjab/KP/Balochistan),Flash Floods
2014,367,1860,2500000,32,129000,250000,2100000000,Severe,Punjab,Riverine Flooding
2015,238,945,1500000,22,28000,67000,1000000000,Moderate,Khyber Pakhtunkhwa,Monsoon and GLOF
2016,262,780,1200000,18,21000,55000,800000000,Moderate,Khyber Pakhtunkhwa,Flash Floods
2017,164,450,600000,15,12000,38000,500000000,Low-Moderate,KP and Punjab,Monsoon Flooding
2018,186,520,800000,17,15000,42000,600000000,Low-Moderate,Sindh and Balochistan,Monsoon Flooding
2019,225,680,950000,20,18000,48000,700000000,Moderate,Khyber Pakhtunkhwa,Flash Floods and Landslides
2020,410,890,2000000,24,200000,350000,1500000000,Severe,Sindh,Urban and Monsoon Flooding
2021,160,400,500000,14,10000,30000,400000000,Low-Moderate,Khyber Pakhtunkhwa,Monsoon Flooding
2022,1739,12867,33000000,90,2100000,2800000,40000000000,Catastrophic,Sindh and Balochistan,Mega Monsoon Flooding
2023,226,349,1000000,18,5800,28000,500000000,Moderate,Punjab,Flash Floods and Riverine
2024,354,666,1500000,22,20653,55000,800000000,Moderate-Severe,Balochistan and Sindh,Monsoon and Flash Floods
2025,1037,1067,6900000,70,229760,450000,5000000000,Catastrophic,Punjab and KP,Flash and Riverine Flooding
2026,180,350,600000,15,8000,25000,300000000,Moderate (Ongoing),KP and Gilgit-Baltistan,Urban and Flash Floods
